"hr_id","animal_id","species","sex","year","month","season","n_pts","n_days"
"00293_MD14F0036_2020_02","MD14F0036","Mule Deer","F",2020,2,"Winter",694,28.9166666666667
"00435_MD14F0072_2015_02","MD14F0072","Mule Deer","F",2015,2,"Winter",64,27.1666666666667
"00436_MD14F0072_2015_07","MD14F0072","Mule Deer","F",2015,7,"Summer",62,28.6666666666667
"00437_MD14F0072_2016_02","MD14F0072","Mule Deer","F",2016,2,"Winter",100,28.7083333333333
"00438_MD14F0072_2016_07","MD14F0072","Mule Deer","F",2016,7,"Summer",84,27.625
"00439_MD14F0072_2017_02","MD14F0072","Mule Deer","F",2017,2,"Winter",44,12.4583333333333
"00441_MD14F0072_2018_02","MD14F0072","Mule Deer","F",2018,2,"Winter",54,13.0416666666667
"00515_MD14F0097_2015_02","MD14F0097","Mule Deer","F",2015,2,"Winter",110,27.625
"00516_MD14F0097_2015_07","MD14F0097","Mule Deer","F",2015,7,"Summer",102,29.75
"00517_MD14F0097_2016_02","MD14F0097","Mule Deer","F",2016,2,"Winter",106,28.7083333333333
"00518_MD14F0097_2017_07","MD14F0097","Mule Deer","F",2017,7,"Summer",98,29.5416666666667
"00519_MD14F0097_2018_02","MD14F0097","Mule Deer","F",2018,2,"Winter",108,27.6666666666667
"00520_MD14F0097_2018_07","MD14F0097","Mule Deer","F",2018,7,"Summer",102,30.2916666666667
"00521_MD14F0097_2019_02","MD14F0097","Mule Deer","F",2019,2,"Winter",100,27.6666666666667
"00522_MD14F0097_2019_07","MD14F0097","Mule Deer","F",2019,7,"Summer",100,30.2916666666667
"00523_MD14F0097_2020_02","MD14F0097","Mule Deer","F",2020,2,"Winter",100,28.7083333333333
"01720_MD15F0249_2016_02","MD15F0249","Mule Deer","F",2016,2,"Winter",106,28.7083333333333
"01721_MD15F0249_2016_07","MD15F0249","Mule Deer","F",2016,7,"Summer",92,30.25
"01722_MD15F0249_2017_02","MD15F0249","Mule Deer","F",2017,2,"Winter",108,27.625
"01723_MD15F0249_2017_07","MD15F0249","Mule Deer","F",2017,7,"Summer",96,29.5416666666667
"01724_MD15F0249_2018_02","MD15F0249","Mule Deer","F",2018,2,"Winter",110,27.6666666666667
"01725_MD15F0249_2018_07","MD15F0249","Mule Deer","F",2018,7,"Summer",82,29.75
"01726_MD15F0249_2019_02","MD15F0249","Mule Deer","F",2019,2,"Winter",100,27.6666666666667
"01727_MD15F0249_2019_07","MD15F0249","Mule Deer","F",2019,7,"Summer",86,29.7083333333333
"01728_MD15F0249_2020_02","MD15F0249","Mule Deer","F",2020,2,"Winter",102,28.2083333333333
"01729_MD15F0249_2020_07","MD15F0249","Mule Deer","F",2020,7,"Summer",76,30.75
"01730_MD15F0249_2021_02","MD15F0249","Mule Deer","F",2021,2,"Winter",104,27.1666666666667
"01731_MD15F0249_2021_07","MD15F0249","Mule Deer","F",2021,7,"Summer",66,29.75
"02005_MD15F0311_2016_02","MD15F0311","Mule Deer","F",2016,2,"Winter",108,28.1666666666667
"02006_MD15F0311_2016_07","MD15F0311","Mule Deer","F",2016,7,"Summer",116,30.7916666666667
"02007_MD15F0311_2017_02","MD15F0311","Mule Deer","F",2017,2,"Winter",90,27.625
"02008_MD15F0311_2017_07","MD15F0311","Mule Deer","F",2017,7,"Summer",92,26.4166666666667
"02009_MD15F0311_2018_02","MD15F0311","Mule Deer","F",2018,2,"Winter",104,27.125
"02010_MD15F0311_2018_07","MD15F0311","Mule Deer","F",2018,7,"Summer",102,30.7916666666667
"02011_MD15F0311_2019_02","MD15F0311","Mule Deer","F",2019,2,"Winter",84,26.625
"02012_MD15F0311_2019_07","MD15F0311","Mule Deer","F",2019,7,"Summer",76,29.75
"02013_MD15F0311_2020_02","MD15F0311","Mule Deer","F",2020,2,"Winter",68,27.6666666666667
"01805_MD15F0266_2016_02","MD15F0266","Mule Deer","F",2016,2,"Winter",104,28.7083333333333
"01806_MD15F0266_2016_07","MD15F0266","Mule Deer","F",2016,7,"Summer",94,30.2916666666667
"01807_MD15F0266_2017_02","MD15F0266","Mule Deer","F",2017,2,"Winter",92,27.625
"01808_MD15F0266_2017_07","MD15F0266","Mule Deer","F",2017,7,"Summer",98,30.0416666666667
"01809_MD15F0266_2018_02","MD15F0266","Mule Deer","F",2018,2,"Winter",94,27.6666666666667
"01810_MD15F0266_2018_07","MD15F0266","Mule Deer","F",2018,7,"Summer",110,29.2083333333333
"00713_MD15F0010_2016_02","MD15F0010","Mule Deer","F",2016,2,"Winter",100,26.0833333333333
"00714_MD15F0010_2016_07","MD15F0010","Mule Deer","F",2016,7,"Summer",80,29.2083333333333
"00715_MD15F0010_2017_02","MD15F0010","Mule Deer","F",2017,2,"Winter",98,27.0833333333333
"00716_MD15F0010_2017_07","MD15F0010","Mule Deer","F",2017,7,"Summer",62,30.5833333333333
"01147_MD15F0097_2016_02","MD15F0097","Mule Deer","F",2016,2,"Winter",114,28.7083333333333
"01148_MD15F0097_2016_07","MD15F0097","Mule Deer","F",2016,7,"Summer",122,30.25
"01149_MD15F0097_2017_02","MD15F0097","Mule Deer","F",2017,2,"Winter",110,27.625
"01032_MD15F0062_2017_07","MD15F0062","Mule Deer","F",2017,7,"Summer",84,30.0833333333333
"01033_MD15F0062_2018_02","MD15F0062","Mule Deer","F",2018,2,"Winter",110,27.6666666666667
"01034_MD15F0062_2018_07","MD15F0062","Mule Deer","F",2018,7,"Summer",100,29.75
"02123_MD15F0356_2015_02","MD15F0356","Mule Deer","F",2015,2,"Winter",106,27.6666666666667
"02124_MD15F0356_2015_07","MD15F0356","Mule Deer","F",2015,7,"Summer",106,30.25
"02125_MD15F0356_2016_02","MD15F0356","Mule Deer","F",2016,2,"Winter",104,28.7083333333333
"02126_MD15F0356_2016_07","MD15F0356","Mule Deer","F",2016,7,"Summer",96,30.25
"02127_MD15F0356_2017_02","MD15F0356","Mule Deer","F",2017,2,"Winter",94,27.625
"02128_MD15F0356_2017_07","MD15F0356","Mule Deer","F",2017,7,"Summer",22,28.5
"02171_MD15F0372_2016_02","MD15F0372","Mule Deer","F",2016,2,"Winter",106,26.5833333333333
"02172_MD15F0372_2016_07","MD15F0372","Mule Deer","F",2016,7,"Summer",108,30.25
"02173_MD15F0372_2017_02","MD15F0372","Mule Deer","F",2017,2,"Winter",112,27.625
"02174_MD15F0372_2017_07","MD15F0372","Mule Deer","F",2017,7,"Summer",106,30.5833333333333
"00975_MD15F0045_2016_02","MD15F0045","Mule Deer","F",2016,2,"Winter",112,28.7083333333333
"00976_MD15F0045_2016_07","MD15F0045","Mule Deer","F",2016,7,"Summer",108,30.7916666666667
"00977_MD15F0045_2017_02","MD15F0045","Mule Deer","F",2017,2,"Winter",96,27.625
"00979_MD15F0045_2019_02","MD15F0045","Mule Deer","F",2019,2,"Winter",666,27.9166666666667
"00888_MD15F0031_2016_02","MD15F0031","Mule Deer","F",2016,2,"Winter",110,28.7083333333333
"00889_MD15F0031_2016_07","MD15F0031","Mule Deer","F",2016,7,"Summer",78,26.625
"00890_MD15F0031_2017_02","MD15F0031","Mule Deer","F",2017,2,"Winter",106,27.125
"00891_MD15F0031_2017_07","MD15F0031","Mule Deer","F",2017,7,"Summer",104,30.5833333333333
"00892_MD15F0031_2018_02","MD15F0031","Mule Deer","F",2018,2,"Winter",106,27.6666666666667
"00893_MD15F0031_2018_07","MD15F0031","Mule Deer","F",2018,7,"Summer",98,29.2083333333333
"00921_MD15F0040_2016_02","MD15F0040","Mule Deer","F",2016,2,"Winter",108,28.7083333333333
"00922_MD15F0040_2016_07","MD15F0040","Mule Deer","F",2016,7,"Summer",86,29.2083333333333
"00923_MD15F0040_2017_02","MD15F0040","Mule Deer","F",2017,2,"Winter",90,27.0833333333333
"00924_MD15F0040_2017_07","MD15F0040","Mule Deer","F",2017,7,"Summer",96,30.0416666666667
"00925_MD15F0040_2018_02","MD15F0040","Mule Deer","F",2018,2,"Winter",94,27.125
"00926_MD15F0040_2018_07","MD15F0040","Mule Deer","F",2018,7,"Summer",74,29.75
"00927_MD15F0040_2021_02","MD15F0040","Mule Deer","F",2021,2,"Winter",168,6.83333333333333
"00701_MD15F0008_2016_02","MD15F0008","Mule Deer","F",2016,2,"Winter",108,28.7083333333333
"00702_MD15F0008_2016_07","MD15F0008","Mule Deer","F",2016,7,"Summer",106,29.75
"00703_MD15F0008_2017_02","MD15F0008","Mule Deer","F",2017,2,"Winter",100,27.625
"00704_MD15F0008_2017_07","MD15F0008","Mule Deer","F",2017,7,"Summer",98,30.0416666666667
